epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.68093,1.56794,3.4731,2.16631,0.01695,1,0.995,0.53067,0.69822,3.61122,1.28885,9.09e-06,9.09e-06,9.09e-06
2,3.266,1.61073,3.44264,1.87546,0.01613,1,0.995,0.56383,0.70798,3.58099,1.26,2.69325e-05,2.69325e-05,2.69325e-05
3,4.6663,1.55656,3.53776,1.97585,0.01587,1,0.995,0.5572,0.69853,3.58508,1.25617,4.43251e-05,4.43251e-05,4.43251e-05
4,5.99899,1.6254,3.5369,2.16755,0.01538,1,0.995,0.5572,0.68937,3.58828,1.25422,6.12677e-05,6.12677e-05,6.12677e-05
5,7.31645,1.65137,3.43954,1.7606,0.01538,1,0.995,0.5373,0.68138,3.59313,1.25667,7.77604e-05,7.77604e-05,7.77604e-05
6,8.88606,1.70587,3.48228,2.21738,0.01538,1,0.995,0.5373,0.68138,3.59313,1.25667,9.38031e-05,9.38031e-05,9.38031e-05
7,10.2087,1.44057,3.33611,1.71156,0.01515,1,0.995,0.796,0.67324,3.5869,1.26448,0.000109396,0.000109396,0.000109396
8,11.7689,1.70087,3.53675,2.21396,0.01449,1,0.995,0.796,0.6769,3.58054,1.28694,0.000124539,0.000124539,0.000124539
9,13.3108,1.48453,3.65237,2.19015,0.01449,1,0.995,0.796,0.6769,3.58054,1.28694,0.000139232,0.000139232,0.000139232
10,14.9058,1.59896,3.62682,2.20711,0.01493,1,0.995,0.796,0.65129,3.56922,1.36399,0.000153474,0.000153474,0.000153474
11,16.3107,1.2892,3.46109,1.79951,0.01493,1,0.995,0.796,0.65129,3.56922,1.36399,0.000167267,0.000167267,0.000167267
12,17.909,1.61551,3.37755,1.97487,0.01429,1,0.995,0.6965,0.58785,3.56646,1.37187,0.00018061,0.00018061,0.00018061
13,19.2893,1.80852,3.35816,1.96519,0.01429,1,0.995,0.6965,0.58785,3.56646,1.37187,0.000193503,0.000193503,0.000193503
14,20.7271,1.53516,3.41514,1.79033,0.01429,1,0.995,0.6965,0.58785,3.56646,1.37187,0.000205946,0.000205946,0.000205946
15,22.3425,1.06252,3.44242,1.54467,0.01587,1,0.995,0.64675,0.58405,3.56627,1.46653,0.00021794,0.00021794,0.00021794
16,23.8234,1.364,3.34646,1.64913,0.01587,1,0.995,0.64675,0.58405,3.56627,1.46653,0.000229483,0.000229483,0.000229483
17,25.3335,1.52704,3.49419,1.92952,0.01587,1,0.995,0.64675,0.58405,3.56627,1.46653,0.000240576,0.000240576,0.000240576
18,26.809,1.18459,3.36284,1.70032,0.01538,1,0.995,0.796,0.58843,3.57242,1.42241,0.000251219,0.000251219,0.000251219
19,28.3411,1.47765,3.29318,1.72321,0.01538,1,0.995,0.796,0.58843,3.57242,1.42241,0.000261412,0.000261412,0.000261412
20,29.7538,1.24969,3.60471,1.86594,0.01538,1,0.995,0.796,0.58843,3.57242,1.42241,0.000271156,0.000271156,0.000271156
21,31.2359,1.0102,3.35955,1.5112,0.01471,1,0.995,0.6965,0.54786,3.58206,1.42544,0.000280449,0.000280449,0.000280449
22,32.8078,0.75078,3.46423,1.63234,0.01471,1,0.995,0.6965,0.54786,3.58206,1.42544,0.000289293,0.000289293,0.000289293
23,34.2195,1.28831,3.36853,1.67228,0.01471,1,0.995,0.6965,0.54786,3.58206,1.42544,0.000297686,0.000297686,0.000297686
24,35.6219,0.91576,3.32221,1.48147,0.01471,1,0.995,0.6965,0.54786,3.58206,1.42544,0.00030563,0.00030563,0.00030563
25,37.1484,1.38395,3.28341,1.6203,0.01351,1,0.995,0.597,0.76817,3.58829,1.52066,0.000313123,0.000313123,0.000313123
26,38.6219,1.14867,3.38474,1.61718,0.01351,1,0.995,0.597,0.76817,3.58829,1.52066,0.000320167,0.000320167,0.000320167
27,40.1081,1.37914,3.33569,1.70632,0.01351,1,0.995,0.597,0.76817,3.58829,1.52066,0.000326761,0.000326761,0.000326761
